TimeStamp,Time (s),Voltage (V),Current (A),Power (W)
13:56:58,142.421,30,0.551,16.524
13:56:59,143.434,30,0.551,16.524
13:57:00,144.445,30,0.551,16.524
13:57:01,145.48,30,0.551,16.524
13:57:02,146.487,30,0.551,16.524
13:57:03,147.496,30,0.551,16.524
13:57:04,148.539,30,0.551,16.524
13:57:05,149.55,30,0.551,16.524
13:57:06,150.559,30,0.551,16.524
13:57:07,151.574,30,0.551,16.524
13:57:08,152.585,30,0.551,16.524
13:57:09,153.594,30,0.551,16.524
13:57:10,154.612,30,0.551,16.524
13:57:11,155.622,30,0.551,16.524
13:57:12,156.631,30,0.551,16.524
13:57:13,157.647,30,0.551,16.524
13:57:14,158.681,30,0.551,16.524
13:57:15,159.689,30,0.551,16.524
13:57:16,160.7,30,0.551,16.524
13:57:17,161.74,30,0.551,16.524
13:57:18,162.751,30,0.551,16.524
13:57:19,163.762,30,0.551,16.524
13:57:20,164.798,30,0.551,16.524
13:57:21,165.81,30,0.551,16.524
13:57:22,166.818,30,0.551,16.524
13:57:23,167.835,30,0.551,16.524
13:57:24,168.846,30,0.551,16.524
13:57:25,169.857,30,0.551,16.524
13:57:26,170.867,30,0.551,16.524
13:57:27,171.9,30,0.551,16.524
13:57:28,172.912,30,0.551,16.524
13:57:29,173.922,30,0.551,16.524
13:57:30,174.959,30,0.551,16.524
13:57:31,175.968,30,0.551,16.524
13:57:32,176.977,30,0.551,16.524
13:57:33,178.018,30,0.551,16.524
13:57:34,179.032,30,0.551,16.524
13:57:35,180.043,30,0.551,16.524
13:57:36,181.076,30,0.551,16.524
13:57:37,182.086,30,0.551,16.524
13:57:38,183.095,30,0.551,16.524
13:57:39,184.135,30,0.551,16.524
13:57:40,185.146,30,0.551,16.524
13:57:41,186.156,30,0.551,16.524
13:57:42,187.175,30,0.551,16.524
13:57:43,188.195,30,0.551,16.524
13:57:44,189.203,30,0.551,16.524
13:57:45,190.212,30,0.551,16.524
13:57:46,191.254,30,0.551,16.524
13:57:47,192.266,30,0.551,16.524
13:57:48,193.276,30,0.551,16.524
13:57:49,194.291,30,0.551,16.524
13:57:50,195.301,30,0.551,16.524
